threat_id,severity,affected_asset,trust_boundary,attack_precondition,required_mitigation,implementation_owner,required_verification,mapped_rtm,audit_gate,baseline_status,residual_risk_state,notes
TM-AUTH-011,HIGH,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Policy canonicalization differs between SDK/contract/tooling,RFC 8785 JCS + Keccak; canonical fixtures,Claude/Protocol,cross-language hash vectors,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: wrong policy identity
TM-AUTH-012,HIGH,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Identifier collision/composite-key ambiguity,bounded charset/length/delimiters; canonical keys,Claude/Protocol,collision/fuzz tests,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: state overwrite/cross-target confusion
TM-EVID-001,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Evidence contains prompt injection,fixed prompts; evidence bracketed as data; constrained outputs,Claude/Protocol,adversarial benchmark,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false semantic decision
TM-EVID-002,CRITICAL,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Reporter authors arbitrary rule/prompt,fixed R1 rule registry; no reporter prompt field,Claude/Protocol,schema/API negative tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: rule substitution
TM-EVID-003,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Malicious source impersonates authoritative source,per-rule source policy; provenance checks; domain/source class,Claude/Protocol,source-policy tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false evidence
TM-EVID-004,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Legitimate source compromised,multiple/independent sources for critical pattern; UNDETERMINED path,Claude/Protocol,contradictory-source tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: authoritative falsehood
TM-EVID-005,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Source changes between leader/validator fetches,extract stable facts; timestamps/hashes; equivalence logic,Claude/Protocol,variance tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: consensus divergence
TM-EVID-006,CRITICAL,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Source unavailable,explicit unavailable state; fail safe to UNDETERMINED/disagreement,Claude/Protocol,outage tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: default-to-CONFIRMED bug
TM-EVID-007,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Personalized/geolocated web result differs,stable authoritative endpoints; content normalization; independent validation,Claude/Protocol,simulated variation tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false equivalence
TM-EVID-008,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Redirect/URL trick reaches localhost/private endpoint,HTTPS allow rules; reject localhost/private ranges/unsupported redirects,Claude/Protocol,URL adversarial tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: SSRF-like access / invalid evidence
TM-EVID-009,MEDIUM,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Oversized evidence causes resource exhaustion,strict EAP/source/text size caps,Claude/Protocol,size-boundary tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: liveness/griefing
TM-EVID-010,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Malformed model output is partially accepted,strict structured schema; fail closed,Claude/Protocol,malformed-output tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: corrupted decision
TM-EVID-011,CRITICAL,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Schema-valid but substantively false leader result passes validator,custom validator independently reassesses evidence,Claude/Protocol,false-leader consensus test,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false decision
TM-EVID-012,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Old/stale evidence reused for new incident,observedAt/retrievedAt/evidence age/rule policy,Claude/Protocol,stale-evidence tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false current condition
TM-EVID-013,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Evidence artifact hash does not bind all decision-relevant fields,canonical EAP hash specification and validation,Claude/Protocol,mutation/hash tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: substitution
TM-EVID-014,HIGH,Evidence Artifact Package / Judge input,Reporter/Sentinel/web source -> Judge,Private/confidential evidence is accidentally accepted as R1-supported,public-access scope guardrails; UI/docs/schema constraints,Claude/Protocol,product/content + source tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unverifiable consensus / privacy leak
TM-LIFE-001,CRITICAL,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,`Accepted` treated as final,stage-aware policy; Class P only on accepted,Claude/Protocol,lifecycle tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: premature irreversible action
TM-LIFE-002,HIGH,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,`Finalized` treated as execution success,inspect execution result + required post-state,Claude/Protocol,finalized-error E2E,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false state / unsafe UX
TM-LIFE-003,HIGH,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,`TxStatus.Undetermined` conflated with DecisionOutcome.UNDETERMINED,separate types/namespaces,Claude/Protocol,type/fixture/UI tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: semantic corruption
TM-LIFE-004,CRITICAL,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Duplicate Judge->Kernel message repeats effects,incident/action replay maps; idempotent receiver,Claude/Protocol,duplicate delivery tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: duplicate state/economic effect
TM-LIFE-005,CRITICAL,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Duplicate Kernel->Target message repeats economic action,action ID idempotency in target,Claude/Protocol,duplicate target tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: duplicate value/service action
TM-LIFE-006,HIGH,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Child transaction fails but parent shown successful,parent/child tracking; post-state validation,Claude/Protocol,child-failure E2E,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe false success
TM-LIFE-007,HIGH,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Final REJECTED leaves provisional restriction stuck,incident-specific provisional reconciliation,Claude/Protocol,reject rollback tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unjustified restriction
TM-LIFE-008,HIGH,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Final UNDETERMINED leaves unsafe high-impact containment,defined safe reconciliation / monitor-only outcome,Claude/Protocol,undetermined tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: indefinite authority reduction
TM-LIFE-009,CRITICAL,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Final CONFIRMED temporarily unlocks during provisional->final conversion,monotonic conversion with no unlock gap,Claude/Protocol,state-transition property test,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: race / exposure
TM-LIFE-010,HIGH,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Message ordering/retry causes stale state transition,explicit incident/stage checks; monotonic transitions,Claude/Protocol,reorder/delay tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: incorrect target state
TM-LIFE-011,CRITICAL,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Appeal/re-execution creates duplicate settlement/action,decision/action IDs bound to final semantic event,Claude/Protocol,appeal/retry tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: duplicate effect
TM-LIFE-012,HIGH,Transaction lifecycle / DecisionRecord propagation,Judge->Kernel->Target message chain,Insufficient child fee budget causes partial causal chain,fee profiling + failure visibility + safe state,Claude/Protocol,child-budget tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: incomplete enforcement
TM-REC-001,CRITICAL,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Resolving incident A removes restriction from incident B,reason-indexed restriction counts/sets,Claude/Protocol,multi-incident tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe restoration
TM-REC-002,CRITICAL,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Restriction counter underflow/double release,checked state transitions; idempotent release,Claude/Protocol,property/fuzz tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe restoration
TM-REC-003,HIGH,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Remediation alone restores capability requiring recovery validation,release-phase metadata; separate remediation/recovery gates,Claude/Protocol,recovery lifecycle tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: premature restore
TM-REC-004,HIGH,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Timer alone triggers restore,evidence-backed recovery only,Claude/Protocol,negative timer test,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false recovery
TM-REC-005,CRITICAL,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Recovery evidence references wrong parent incident,derive target/resource/policy from parent incident,Claude/Protocol,wrong-parent tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: cross-incident restore
TM-REC-006,CRITICAL,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Recovery restores more authority than pre-incident policy,active-policy bounds + unresolved restriction check,Claude/Protocol,invariant/property tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: authority expansion
TM-REC-007,HIGH,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Old remediation/recovery evidence replayed,incident-bound nonces/hashes/stages,Claude/Protocol,replay tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false restoration
TM-REC-008,CRITICAL,Recovery / multi-incident restriction state,Kernel restriction/recovery state machine,Simultaneous incidents create weaker aggregate state than strongest restriction,monotonic strongest-state/reason composition,Claude/Protocol,concurrent incident tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: composition failure
TM-ECON-001,HIGH,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",Reporter claims bond/bounty twice,settlement/claim idempotency,Claude/Protocol,duplicate-claim test,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: fund loss
TM-ECON-002,HIGH,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",Wrong Judge settles bond,exact Judge authorization,Claude/Protocol,wrong-caller test,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: fund loss
TM-ECON-003,CRITICAL,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",Vault receives target-control authority,separate authorityless Vault design,Claude/Protocol,source/schema audit,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: constitutional boundary leak
TM-ECON-004,MEDIUM,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",Rejected/undetermined good-faith report is truth-slashed,defined settlement policy,Claude/Protocol,economics tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: incentive/griefing defect
TM-ECON-005,MEDIUM,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",Reporter spam exhausts protocol/target resources,fee + configurable anti-spam bond + rate/operator monitoring,Claude/Protocol,load/economic tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: availability/economic griefing
TM-ECON-006,HIGH,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",Bounty pool pays beyond configured/funded amount,balance/accounting checks,Claude/Protocol,property tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: fund loss
TM-ECON-007,HIGH,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",ReferenceAgentProtocol pays wrong provider after restriction,assurance-aware AUTO selection + target checks,Claude/Protocol,economic E2E,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: real test-fund misrouting / canonical-demo failure
TM-ECON-008,HIGH,IncentiveVault economic state,"Vault<->Reporter/Judge, separate from target-control authority",Safe-mode spend ceiling bypassed,deterministic target limit,Claude/Protocol,boundary tests,,A2,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: excessive fund exposure
TM-INF-001,HIGH,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Repository accidentally targets 61999 instead of 61997,network lock + runtime guard,Claude/Release,G0-NET-01/02 raw JSON-RPC + CLI/JS/PY cross-check; toolchain/network.lock.json pins 61997; evidence: release-evidence/r1/g0/network-verification.json,,A0,MITIGATED / VERIFIED,N/A - concretely tested,consequence: invalid demo/deployment
TM-INF-002,HIGH,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Stable and RC packages mixed,G0-compatible family locks,Claude/Release,"G0 install-log.txt: all packages installed from the same v0.6 RC family, cross-verified; no stable/RC mixing observed",,A0,MITIGATED / VERIFIED,N/A - concretely tested,consequence: semantic/tooling incompatibility
TM-INF-003,HIGH,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Runner hash changes unnoticed,runner.lock + change trigger,Claude/Release,CF-010 investigation; toolchain/runner.lock pinned to exact proven hash with sourcing/rationale and a documented change trigger,,A0,MITIGATED / VERIFIED,N/A - concretely tested,consequence: execution drift
TM-INF-004,HIGH,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Dependency compromise or unexpected transitive update,exact locks; dependency review; minimal dependencies,Claude/Release,"package-lock.json and requirements.txt pin exact versions; no automated dependency-review CI gate exists yet (F0 only pins, does not review)",,A0,CONTROL IN PLACE - VERIFICATION PARTIAL,OPEN - automated dependency-review/CI gate not yet built,consequence: supply-chain compromise
TM-INF-005,MEDIUM,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Studio reset loses deployment state,reproducible one-command deployment + manifests,Claude/Release,clean redeployment rehearsal,,A0,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: availability/demo loss
TM-INF-006,CRITICAL,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Deployer/owner private key committed/logged,env-only secrets; secret scanning; redaction,Claude/Release,explicit repo-wide secret scan performed at G0 and F0 (Phase Log.md); .gitignore excludes keystore/key/env files; .env.example contains placeholders only,,A0,MITIGATED / VERIFIED,N/A - concretely tested,consequence: privileged compromise
TM-INF-007,CRITICAL,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Sentinel wallet holds owner/treasury powers,least-privilege reporting wallet only,Claude/Release,permission inventory/test,,A0,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: server compromise -> target compromise
TM-INF-008,HIGH,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Hosted API/indexer outage blocks protocol correctness,direct SDK/RPC path,Claude/Release,outage integration test,,A0,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: centralization/liveness failure
TM-INF-009,HIGH,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Hosted API/indexer serves stale/false safe state,freshness/provenance; security-critical reads verify protocol state,Claude/Release,stale-indexer tests,,A0,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe consumer decision
TM-INF-010,HIGH,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Deployment manifest mismatches source/constructor/policy,immutable commit + args + hashes + tx IDs,Claude/Release,manifest verification,,A0,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unverifiable release
TM-INF-011,MEDIUM,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,Faucet/account convenience mistaken for production key model,explicit dev-only scope,Claude/Release,.env.example and Open Blockers.md document the dedicated reclose-deployer account as dev-only; no production key-management design exists yet,,A0,CONTROL IN PLACE - VERIFICATION PARTIAL,OPEN - needs explicit product documentation at D-phase,consequence: operational security weakness
TM-INF-012,MEDIUM,Toolchain / network / deployment / secrets,host environment <-> Studio-dev / repository <-> CI,External EVM/Hyperlane capability is claimed but not implemented on Studio,explicit non-goal and verified-claim gate,Claude/Release,A4 content audit,,A0,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: misleading security/product claim
TM-UX-001,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Authority expansion hidden in generic settings UI,security diff + explicit authority review,Claude/Frontend,UX snapshot/E2E,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe owner signature
TM-UX-002,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Wrong network not obvious before signing,chain guard + network display,Claude/Frontend,wrong-network E2E,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: wrong-chain transaction
TM-UX-003,MEDIUM,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Stale cached state displayed as current,freshness indicators/refetch,Claude/Frontend,stale-data tests,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe operator decision
TM-UX-004,MEDIUM,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Reporter shown as truth-decider,causal copy discipline,Claude/Frontend,content review,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: misleading trust model
TM-UX-005,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Provisional shown as final,distinct DecisionStage UI,Claude/Frontend,fixture/E2E,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe operator assumption
TM-UX-006,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Finalized error shown as success,execution result + post-state check,Claude/Frontend,error fixture/E2E,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unsafe operator assumption
TM-UX-007,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Malicious evidence HTML rendered unsafely,sanitize/escape; safe links; no unsafe HTML injection,Claude/Frontend,frontend security tests,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: browser XSS/content abuse
TM-UX-008,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Timeout causes automatic transaction resubmission,persist tx ID; poll/resume; never blind retry,Claude/Frontend,timeout/resume tests,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: duplicate write/economic effect
TM-UX-009,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,Child-message failure hidden,trace parent/child state,Claude/Frontend,UI E2E,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false completion
TM-UX-010,HIGH,Frontend product surfaces,protocol truth -> frontend rendering -> operator decision,API result overrides contract truth in frontend,canonical SDK semantics; direct verification path,Claude/Frontend,outage/disagreement tests,,A3,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: hidden central authority
TM-REL-001,HIGH,Release evidence / audit integrity,implementation <-> audit/benchmark/claims,Synthetic fixture presented as live 61997 evidence,evidence labeling + immutable tx refs,Claude/Release,A4 audit,,A4,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: misleading release
TM-REL-002,MEDIUM,Release evidence / audit integrity,implementation <-> audit/benchmark/claims,Benchmark cherry-picked to exclude failures,fixed category coverage + publish class metrics/limitations,Claude/Release,benchmark review,,A4,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: misleading assurance
TM-REL-003,HIGH,Release evidence / audit integrity,implementation <-> audit/benchmark/claims,Requirement marked VERIFIED without evidence,RTM execution ledger rules,Claude/Release,audit script/manual review,,A4,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: false completeness
TM-REL-004,HIGH,Release evidence / audit integrity,implementation <-> audit/benchmark/claims,Audited commit history rewritten after review,immutable checkpoint commit; fixes as new commits,Claude/Release,Git audit,,A4,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: invalid audit
TM-REL-005,HIGH,Release evidence / audit integrity,implementation <-> audit/benchmark/claims,External audit PASS self-authored by Claude,owner-supplied audit decision only,Claude/Release,audit register review,,A4,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: invalid assurance
TM-REL-006,MEDIUM,Release evidence / audit integrity,implementation <-> audit/benchmark/claims,Submission claims exceed actual implemented scope,claim-to-evidence review,Claude/Release,A4 + S1 review,,A4,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: misleading product
